2019 KS5 excel and csv download data files: field names and descriptions,,,,,,
 '.' indicates that a field is intentionally null/blank,,,,,,
"Note: retention, and completion and attainment data will be made available in March.",,,,,,
,,,,,,
Column,Field Name,Field description,Null/blank field for Rectype 1,Null/blank field for Rectype 3,Null/blank field for Rectype 4,Null/blank field for Rectype 5 or 7
A,RECTYPE,"Record type: 
1= school or college; 
3= sixth form centre/consortium (see separate list of the sixth form centres and consortia and their feeder schools and colleges); 
4= Local Authority; 
5= National (all schools and colleges); 
7= National (state-funded schools and colleges)",,,,
B,ALPHAIND,Alphabetic index,,,.,.
C,REGION,Region code (see separate list of region and local authority codes),,,,.
D,LASORT,Local authority sort code within region,,.,,.
E,LEA,LA number,,,,.
F,ESTAB,Establishment number,,,.,.
G,URN,Unique Reference Number of establishment,,,.,.
H,PCON_CODE,School parliamentary constituency code,,.,.,.
I,PCON_NAME,School parliamentary constituency name,,.,.,.
J,SCHNAME_AC,Name of converter academy,,.,.,.
K,SCHNAME,School/college name,,,.,.
L,ADDRESS1,School/college address (1),,.,.,.
M,ADDRESS2,School/college address (2),,.,.,.
N,ADDRESS3,School/college address (3),,,.,.
O,TOWN,Town where school/college is located,,,.,.
P,PCODE,School/college postcode,,,.,.
Q,TELNUM,School/college telephone number ,,,.,.
R,CONTFLAG,"Contingency flag: results significantly affected: 
0= not significantly affected; 1= significantly affected",,,,.
S,NFTYPE/FESITYPE,School type/FE college type,,,.,.
T,RELDENOM,Religious character ,,,.,.
U,ADMPOL,"Admissions policy
",,,.,.
V,ADMPOL_PT,Admissions policy - new definition from 2019 onwards,,.,.,.
W,GEND1618,"Gender of sixth form: girls, boys or mixed",,.,.,.
X,FEEDER,"Indicates whether a school/college is a feeder school/college for sixth form centre or consortium:
0= not a feeder school/college; 1= feeder school/college",,.,.,.
Y,AGERANGE,Age range,,.,.,.
Z,ICLOSE,Closed school/college flag: 0= open; 1= closed,,.,.,.
AA,TABKS2,"Indicates if a school is published in the primary school (Key Stage 2) performance tables:
0= No; 1= Yes",,.,.,.
AB,TAB15,"Indicates if a school or college is published in the secondary school (Key Stage 4) performance tables: 
0= No; 1= Yes",,.,.,.
AC,EXAMCONF,"Indicates if a school or college has confirmed their results:
blank/null= confirmed; R= not confirmed",.,.,.,.
AD,DUMMY,Dummy field,.,.,.,.
AE,TPUP1618,Number of 16-18 year old students in sixth form,,,.,.
AF,TALLPUP_1618,Number of students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications),,,,
AG,TALLPUP_ALEV_1618,Number of students at the end of 16-18 study who entered for at least one AS or A level qualification,,,,
AH,TALLPPE_ALEV_1618,Average point score per A level entry,,,,
AI,TALLPPEGRD_ALEV_1618,Average point score per A level entry expressed as a grade,,,,
AJ,TINCLUDE_B3,Number of students included in the best 3 A levels measure,,,,
AK,TB3PTSE,Average point score in best 3 A level entries,,,,
AL,TB3PTSE_GRD,Average point score in best 3 A level entries expressed as a grade,,,,
AM,TINCLUDE_AAB_2FAC,Number of students included in AAB in 2 facilitating subjects measure,,,,
AN,PTAAB_2FAC,"Percentage of A level students achieving at least three levels at grades AAB or better, at least two of which are in facilitating subjects",,,,
AO,TALLPUP_ACAD_1618,Number of students at the end of 16-18 study who entered for at least one advanced (level 3) academic qualification,,,,
AP,TALLPPE_ACAD_1618,Average point score per academic entry,,,,
AQ,TALLPPEGRD_ACAD_1618,Average point score per academic entry expressed as a grade,,,,
AR,TALLPUP_AGEN,Number of students at the end of 16-18 study who entered for ant least one applied general qualification,,,,
AS,TALLPPE_AGEN,Average point score per applied general entry,,,,
AT,TALLPPEGRD_AGEN,Average point score per applied general entry expressed as a grade,,,,
AU,TALLPUP_TLEV,Number of students at the end of 16-18 study who entered for at least one tech level qualification,,,,
AV,TALLPPE_TLEV,Average point score per tech level entry,,,,
AW,TALLPPEGRD_TLEV,Average point score per tech level entry expressed as a grade,,,,
AX,TTECH_BACC,"Number of students achieving a TechBacc (ie, a tech level, an extended project qualification and core maths or equivalent maths qualification)",,,,
AY,TALLPUP_TLEVDENOM,Number of trigger students for 'level 3 vocational quals' - ignoring discounting and applied general,,,,
AZ,TLEV_PER,Proportion of level 3 vocational students that are tech level students,,,,
BA,TALLPUP_AGENDENOM,Number of trigger students for 'level 3 vocational quals' - ignoring discounting and tech levels,,,,
BB,AGEN_PER,Proportion of level 3 vocational students that are applied general students,,,,
BC,T_SCOPEEX_E,Number of students at the end of 16-18 study included in the English progress measure,,,,
BD,PROGEX_E,Average progress made in English,,,,
BE,ENTRY_PER_E,Proportion of students eligible for English progress measures entered for approved exams,,,,
BF,T_SCOPEEX_M,Number of students at the end of 16-18 study included in the maths progress measure,,,,
BG,PROGEX_M,Average progress made in maths,,,,
BH,ENTRY_PER_M,Proportion of students eligible for maths progress measures entered for approved exams,,,,
BI,TALLPUP_SCOPE_L3M,Number of students in scope for level 3 maths measure,,,,
BJ,L3M_PER,Percentage of students in scope for the level 3 maths measure who achieved approved a level 3 maths qualification,,,,
BK,T_InScope_ALEV_Ret,Number of students at the end of 16-18 study with an A level core aim,.,.,.,.
BL,PT_Retained_ALEV_Ret,Percentage of A level core aims retained,.,.,.,.
BM,PT_Ret_Assessed_ALEV,Percentage of A Level core aims retained and assessed,.,.,.,.
BN,T_InScope_ALEV_2ndYr,Number of students in scope for returned and retained for a second year where core aim is an A Level,.,.,.,.
BO,PT_Retained_ALEV_2ndYr,Percentage of students who were retained for a second year with an A Level programme core aim,.,.,.,.
BP,T_InScope_ACAD_Ret,Number of students at the end of 16-18 study with an academic core aim,.,.,.,.
BQ,PT_Retained_ACAD_Ret,Percentage of academic core aims retained,.,.,.,.
BR,PT_Ret_Assessed_ACAD,Percentage of academic core aims retained and assessed,.,.,.,.
BS,T_InScope_ACAD_2ndYr,Number of students in scope for returned and retained for a second year where core aim is an academic qualification,.,.,.,.
BT,PT_Retained_ACAD_2ndYr,Percentage of students who were retained for a second year with an academic core aim,.,.,.,.
BU,T_InScope_AGEN_Ret,Number of students at the end of 16-18 study with an applied general core aim,.,.,.,.
BV,PT_Retained_AGEN_Ret,Percentage of applied general core aims retained,.,.,.,.
BW,PT_Ret_Assessed_AGEN,Percentage of applied general core aims retained and assessed,.,.,.,.
BX,T_InScope_AGEN_2ndYr,Number of students In scope for returned and retained for a second year where core aim is an applied general qualification,.,.,.,.
BY,PT_Retained_AGEN_2ndYr,Percentage of students who were retained for a second year with an applied general core aim,.,.,.,.
BZ,T_InScope_TLEV_Ret,Number of students at the end of 16-18 study with a tech level core aim,.,.,.,.
CA,PT_Retained_TLEV_Ret,Percentage of tech level core aims retained,.,.,.,.
CB,PT_Ret_Assessed_TLEV,Percentage of tech level core aims retained and assessed,.,.,.,.
CC,T_InScope_TLEV_2ndYr,Number of students in scope for returned and retained for a second year measure where core aim is a tech level qualification,.,.,.,.
CD,PT_Retained_TLEV_2ndYr,Percentage of students who were retained for a second year with a tech level core aim,.,.,.,.
CE,T_AIMS_TLEV,Number of tech level aims,.,.,.,.
CF,CA_SCORE_TLEV,Completion and Attainment score,.,.,.,.
CG,TALLPUP_TechCert,Number of students at the end of 16-18 study who were entered for at least one technical certificate qualification,,,,
CH,TALLPPE_TechCert,Average point score per technical certificate entry ,,,,
CI,TALLPPEGRD_TechCert,Average point score per technical certificate entry expressed as a grade,,,,
CJ,T_AIMS_TechCert,Number of technical certificate aims in completion and attainment measure,.,.,.,.
CK,CA_Score_TechCert,Technical certificate completion and attainment score,.,.,.,.
CL,T_InScope_TechCert_Ret,Number of students in scope for retention measure where core aim is a tech cert programme,.,.,.,.
CM,PT_Retained_TechCert_Ret,Percentage of technical certificate core aims retained,.,.,.,.
CN,PT_Ret_Assessed_TechCert,Percentage of technical certificate core aims retained and assessed,.,.,.,.
CO,TALLPUP_ANYL2VOC,"Number of students entered for at least one level 2 vocational, whose highest qualification during 16-18 study was at level 2.",,,,
CP,TechCert_PER,Percentage of level 2 vocational students that are technical certificate students,,,,
CQ,TALLPUP_1618_DIS,Number of disadvantaged students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications),,,,
CR,TALLPUP_ALEV_1618_DIS,Number of disadvantaged students at the end of 16-18 study who entered for at least one AS or A level qualification,,,,
CS,TALLPPE_ALEV_1618_DIS,Average point score per A level entry for disadvantaged students,,,,
CT,TALLPPEGRD_ALEV_DIS,Average point score per A level entry for disadvantaged students expressed as a grade,,,,
CU,TALLPUP_ACAD_1618_DIS,Number of disadvantaged students at the end of 16-18 study who entered for at least one advanced (level 3) academic qualification,,,,
CV,TALLPPE_ACAD_1618_DIS,Average point score per academic entry for disadvantaged students,,,,
CW,TALLPPEGRD_ACAD_DIS,Average point score per academic entry for disadvantaged students expressed as a grade,,,,
CX,TALLPUP_AGEN_DIS,Number of disadvantaged students at the end of 16-18 study who entered for at least one applied general exam entry,,,,
CY,TALLPPE_AGEN_DIS,Average point score per applied general entry for disadvantaged students,,,,
CZ,TALLPPEGRD_AGEN_DIS,Average point score per applied general entry expressed as a grade for disadvantaged students,,,,
DA,TALLPUP_TLEV_DIS,Number of disadvantaged students at the end of 16-18 study who entered for at least one tech level exam entry,,,,
DB,TALLPPE_TLEV_DIS,Average point score per tech level entry for disadvantaged students,,,,
DC,TALLPPEGRD_TLEV_DIS,Average point score per tech level entry expressed as a grade for disadvantaged students,,,,
DD,T_SCOPEEX_E_DIS,Number of disadvantaged students at the end of 16-18 study in scope for English progress measure,,,,
DE,PROGEX_E_DIS,Average progress made in English by disadvantaged students,,,,
DF,T_SCOPEEX_M_DIS,Number of disadvantaged students at the end of 16-18 study in scope for maths progress measure,,,,
DG,PROGEX_M_DIS,Average progress made in maths by disadvantaged students,,,,
DH,T_AIMS_TLEV_DIS,Number of Tech Level aims in completion and attainment for disadvantaged students,.,.,.,.
DI,CA_Score_TLEV_DIS,Tech Level completion and attainment score for disadvantaged students,.,.,.,.
DJ,T_InScope_ALEV_Ret_DIS,Number of disadvantaged students in scope for retention measure where core aim is an A level qualification,.,.,.,.
DK,PT_Retained_ALEV_Ret_DIS,Percentage of disadvantaged students who completed an A level core aim for retention measure,.,.,.,.
DL,T_InScope_ACAD_Ret_DIS,Number of disadvantaged students in scope for retention measure where core aim is an academic qualification,.,.,.,.
DM,PT_Retained_ACAD_Ret_DIS,Percentage of disadvantaged students who completed an academic core aim for retention measure,.,.,.,.
DN,T_InScope_AGEN_Ret_DIS,Number of disadvantaged students in scope for retention measure where core aim is an applied general qualification,.,.,.,.
DO,PT_Retained_AGEN_Ret_DIS,Percentage of disadvantaged students who completed an applied general core aim for retention measure,.,.,.,.
DP,T_InScope_TLEV_Ret_DIS,Number of disadvantaged students in scope for retention measure where core aim is a tech level qualification,.,.,.,.
DQ,PT_Retained_TLEV_Ret_DIS,Percentage of disadvantaged students who completed a tech level core aim for retention measure,.,.,.,.
DR,TALLPUP_TechCert_DIS,Number of disadvantaged students at the end of 16-18 study entered for at least one technical certificate qualification ,,,,
DS,TALLPPE_TechCert_DIS,Average point score per technical certificate entry for disadvantaged students,,,,
DT,TALLPPEGRD_TechCert_DIS,Average point score per technical certificate entry expressed as a grade for disadvantaged students,,,,
DU,T_AIMS_TechCert_DIS,Number of technical certificate aims in completion and attainment measure for disadvantaged students,.,.,.,.
DV,CA_Score_TechCert_DIS,Technical certificate completion and attainment score for disadvantaged students,.,.,.,.
DW,T_InScope_TechCert_Ret_DIS,Number of disadvantaged students in scope for retention measure where core aim is a technical certificate programme,.,.,.,.
DX,PT_Retained_TechCert_Ret_DIS,Percentage of disadvantaged students who completed a technical certificate core aim for retention measure,.,.,.,.
DY,TALLPUP_1618_NOTDIS,Number of non-disadvantaged students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications),,,,
DZ,TALLPUP_ALEV_1618_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one A level qualification,,,,
EA,TALLPPE_ALEV_1618_NOTDIS,Average point score per A level entry for non-disadvantaged students,,,,
EB,TALLPPEGRD_ALEV_NOTDIS,Average point score per A level entry for non-disadvantaged students expressed as a grade,,,,
EC,TALLPUP_ACAD_1618_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one academic qualification,,,,
ED,TALLPPE_ACAD_1618_NOTDIS,Average point score per academic entry for non-disadvantaged students,,,,
EE,TALLPPEGRD_ACAD_NOTDIS,Average point score per academic entry for non-disadvantaged students expressed as a grade,,,,
EF,TALLPUP_AGEN_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study who entered at lest one applied general qualification,,,,
EG,TALLPPE_AGEN_NOTDIS,Average point score per applied general entry for non-disadvantaged students,,,,
EH,TALLPPEGRD_AGEN_NOTDIS,Average point score per applied general entry expressed as a grade for non-disadvantaged students,,,,
EI,TALLPUP_TLEV_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one tech level qualification,,,,
EJ,TALLPPE_TLEV_NOTDIS,Average point score per tech level entry for non-disadvantaged students,,,,
EK,TALLPPEGRD_TLEV_NOTDIS,Average point score per tech level entry expressed as a grade for non-disadvantaged students,,,,
EL,T_SCOPEEX_E_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study in scope for English progress measure,,,,
EM,PROGEX_E_NOTDIS,Average progress made in English by non-disadvantaged students,,,,
EN,T_SCOPEEX_M_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study in scope for maths progress measure,,,,
EO,PROGEX_M_NOTDIS,Average progress made in maths by non-disadvantaged students,,,,
EP,T_AIMS_TLEV_NOTDIS,Number of Tech Level aims in completion and attainment for non-disadvantaged students,.,.,.,.
EQ,CA_Score_TLEV_NOTDIS,Tech Level completion and attainment score for non-disadvantaged students,.,.,.,.
ER,T_InScope_ALEV_Ret_NOTDIS,Number of non-disadvantaged students in scope for retention measure where core aim is an A level qualification,.,.,.,.
ES,PT_Retained_ALEV_Ret_NOTDIS,Percentage of non-disadvantaged students who completed an A level core aim for retention measure,.,.,.,.
ET,T_InScope_ACAD_Ret_NOTDIS,Number of non-disadvantaged students in scope for retention measure where core aim is an academic qualification,.,.,.,.
EU,PT_Retained_ACAD_Ret_NOTDIS,Percentage of non-disadvantaged students who completed an academic core aim for retention measure,.,.,.,.
EV,T_InScope_AGEN_Ret_NOTDIS,Number of non-disadvantaged students in scope for retention measure where core aim is an applied general qualification,.,.,.,.
EW,PT_Retained_AGEN_Ret_NOTDIS,Percentage of non-disadvantaged students who completed an Applied General core aim for retention measure,.,.,.,.
EX,T_InScope_TLEV_Ret_NOTDIS,Number of non-disadvantaged students in scope for retention measure where core aim is a tech level qualification,.,.,.,.
EY,PT_Retained_TLEV_Ret_NOTDIS,Percentage of non-disadvantaged students who completed a tech level core aim for retention measure,.,.,.,.
EZ,TALLPUP_TechCert_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study with a technical certificate qualification entry,,,,
FA,TALLPPE_TechCert_NOTDIS,Average point score per technical certificate entry for non-disadvantaged students,,,,
FB,TALLPPEGRD_TechCert_NOTDIS,Average point score per technical certificate entry expressed as a grade for non-disadvantaged students,,,,
FC,T_AIMS_TechCert_NOTDIS,Number of technical certificate aims in completion and attainment for non-disadvantaged students,.,.,.,.
FD,CA_Score_TechCert_NOTDIS,Technical certificate completion and attainment score for non-disadvantaged students,.,.,.,.
FE,T_InScope_TechCert_Ret_NOTDIS,Number of non-disadvantaged students in scope for retention measure where core aim is a technical certificate programme,.,.,.,.
FF,PT_Retained_TechCert_Ret_NOTDIS,Percentage of non-disadvantaged students who completed a technical certificate core aim for retention measure,.,.,.,.
FG,ENTRIES_ALEV,Number of A level entries included in value added measure,,,,
FH,VA_INS_ALEV,A level value added score,,,,
FI,UCI_INS_ALEV,A level  value added upper confidence limit,,,,
FJ,LCI_INS_ALEV,A level value added lower confidence limit,,,,
FK,PROGRESS_BAND_ALEV,A level progress band,,,,.
FL,ENTRIES_ACAD,Number of academic entries included in value added measure,,,,
FM,VA_INS_ACAD,Academic value added score,,,,
FN,UCI_INS_ACAD,Academic value added upper confidence limit,,,,
FO,LCI_INS_ACAD,Academic value added lower confidence limit,,,,
FP,PROGRESS_BAND_ACAD,Academic progress band,,,,.
FQ,ENTRIES_AGEN,Number of applied general entries included in value added measure,,,,
FR,VA_INS_AGEN,Applied general value added score,,,,
FS,UCI_INS_AGEN,Applied general value added upper confidence limit,,,,
FT,LCI_INS_AGEN,Applied general value added lower confidence limit,,,,
FU,PROGRESS_BAND_AGEN,Applied general progress band,,,,.
FV,ENTRIES_ALEV_DIS,Number of A level entries by disadvantaged students included in value added measure,,,,
FW,VA_INS_ALEV_DIS,A level value added score for disadvantaged students,,,,
FX,UCI_INS_ALEV_DIS,A level  value added upper confidence limit for disadvantaged students,,,,
FY,LCI_INS_ALEV_DIS,A level value added lower confidence limit for disadvantaged students,,,,
FZ,ENTRIES_ACAD_DIS,Number of academic entries by disadvantaged students included in value added measure,,,,
GA,VA_INS_ACAD_DIS,Academic value added score for disadvantaged students,,,,
GB,UCI_INS_ACAD_DIS,Academic value added upper confidence limit for disadvantaged students,,,,
GC,LCI_INS_ACAD_DIS,Academic value added lower confidence limit for disadvantaged students,,,,
GD,ENTRIES_AGEN_DIS,Number of applied general entries by disadvantaged students included in value added measure,,,,
GE,VA_INS_AGEN_DIS,Applied general value added score for disadvantaged students,,,,
GF,UCI_INS_AGEN_DIS,Applied general value added upper confidence limit for disadvantaged students,,,,
GG,LCI_INS_AGEN_DIS,Applied general value added lower confidence limit for disadvantaged students,,,,
GH,ENTRIES_ALEV_NOTDIS,Number of A level entries by non-disadvantaged students included in value added measure,,,,
GI,VA_INS_ALEV_NOTDIS,A level value added score for non-disadvantaged students,,,,
GJ,UCI_INS_ALEV_NOTDIS,A level  value added upper confidence limit for non-disadvantaged students,,,,
GK,LCI_INS_ALEV_NOTDIS,A level value added lower confidence limit for non-disadvantaged students,,,,
GL,ENTRIES_ACAD_NOTDIS,Number of academic entries by non-disadvantaged students included in value added measure,,,,
GM,VA_INS_ACAD_NOTDIS,Academic value added score for non-disadvantaged students,,,,
GN,UCI_INS_ACAD_NOTDIS,Academic value added upper confidence limit for non-disadvantaged students,,,,
GO,LCI_INS_ACAD_NOTDIS,Academic value added lower confidence limit for non-disadvantaged students,,,,
GP,ENTRIES_AGEN_NOTDIS,Number of applied general entries by non-disadvantaged students included in value added measure,,,,
GQ,VA_INS_AGEN_NOTDIS,Applied general value added score for non-disadvantaged students,,,,
GR,UCI_INS_AGEN_NOTDIS,Applied general value added upper confidence limit for non-disadvantaged students,,,,
GS,LCI_INS_AGEN_NOTDIS,Applied general value added lower confidence limit for non-disadvantaged students,,,,
GT,TALLPUP_1618_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
GU,TALLPUP_1618_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
GV,TALLPUP_ALEV_1618_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
GW,TALLPUP_ALEV_1618_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
GX,TALLPPE_ALEV_1618_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,,
GY,TALLPPE_ALEV_1618_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
GZ,TALLPPEGRD_ALEV_1618_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HA,TALLPPEGRD_ALEV_1618_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HB,TALLPUP_ACAD_1618_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
HC,TALLPUP_ACAD_1618_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
HD,TALLPPE_ACAD_1618_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HE,TALLPPE_ACAD_1618_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HF,TALLPPEGRD_ACAD_1618_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HG,TALLPPEGRD_ACAD_1618_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HH,TALLPUP_AGEN_18,This is a historical variable. It holds the 2018 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
